"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","catsys","optu","optl","optr","optd","catchange"
"cR121634",1,"culture","right","yes",2,"s1700",TRUE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,1,1,1,1,1",10,1,0,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,0
"iR432012",0,"individual","right","yes",8,"s4870",FALSE,"0,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1,1,1,1,0",8,4,0,3,0,0,1,1,0,1,1,1,1,1,0,"0110111110",2,1,2,2,2
"cL834645",1,"culture","left","yes",3,"s4000",FALSE,"1,1,1,1,0,1,0,0,0,0","1,1,1,0,0,0,0,0,0,0",8,1,-2,3,-2,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,1,2
"cR940195",1,"culture","right","yes",1,"s2800",FALSE,"1,0,0,0,0,1,1,1,0,1","0,0,0,0,1,1,1,1,1,1",7,1,-3,4,-1,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,4,3
"iL701645",1,"individual","left","yes",2,"s6939",FALSE,"1,0,1,1,0,1,1,0,0,0","1,0,1,1,1,1,0,0,1,0",7,5,0,6,1,0,1,0,0,0,0,1,1,0,1,"0100001101",1,4,2,4,3
"iL308010",0,"individual","left","yes",7,"s1832",FALSE,"0,1,1,1,0,0,0,0,0,0","0,1,1,1,1,0,0,0,0,0",9,2,0,6,-1,0,1,1,1,1,0,0,0,0,0,"0111100000",1,1,7,1,1
"iU310044",1,"individual","uniform","no",1,"s7136",FALSE,"0,1,1,1,0,1,0,0,1,0","0,1,1,1,0,0,0,1,1,1",7,3,-3,4,-1,0,1,1,1,0,0,0,1,1,1,"0111000111",1,0,6,1,3
"cR102508",1,"culture","right","yes",5,"s1900",FALSE,"1,1,1,1,1,1,0,0,0,0","1,1,1,1,1,0,0,0,0,0",9,1,0,5,-1,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,1
"iL373860",0,"individual","left","yes",2,"s9879",FALSE,"0,0,1,1,1,1,0,1,0,0","0,1,0,0,0,1,0,1,1,0",5,6,2,6,1,0,1,0,0,0,1,0,1,1,0,"0100010110",1,2,2,2,5
"iU898134",1,"individual","uniform","no",3,"s6822",FALSE,"0,1,1,1,0,1,0,0,1,0","0,1,1,0,1,1,0,0,0,0",7,4,-2,6,1,0,1,1,0,1,1,0,0,0,0,"0110110000",1,2,3,1,3
"iL586478",1,"individual","left","yes",2,"s3729",FALSE,"1,1,0,0,0,0,0,0,1,1","1,1,1,0,0,0,0,0,1,1",9,2,0,5,1,0,0,0,1,1,1,1,1,0,0,"0001111100",0,6,4,6,1
"iR518727",1,"individual","right","yes",2,"s3651",FALSE,"1,1,1,1,1,0,0,0,1,1","1,1,1,1,0,0,0,0,1,1",9,2,0,6,-1,0,0,0,0,1,1,1,1,0,0,"0000111100",1,7,3,3,1
